07-10-2025 16:39:57.587 +0000 INFO  loader [0 MainThread] - tcpinputprocessor is alias of tcpinputprocessorwithreplication
07-10-2025 16:39:57.604 +0000 INFO  ServerConfig [0 MainThread] - Will generate GUID, as none found on this server.
07-10-2025 16:39:57.604 +0000 INFO  ServerConfig [0 MainThread] - My newly generated GUID is BB1D645A-3A11-4472-836F-FB1714B51CD3
07-10-2025 16:39:57.606 +0000 INFO  ServerConfig [0 MainThread] - My server name is "9ac300c1c02b".
07-10-2025 16:39:57.606 +0000 INFO  ServerConfig [0 MainThread] - Found no site defined in server.conf
07-10-2025 16:39:57.606 +0000 INFO  ServerConfig [0 MainThread] - My hostname is "9ac300c1c02b".
07-10-2025 16:39:57.632 +0000 WARN  SSLOptions [0 MainThread] - server.conf/[sslConfig]/sslVerifyServerCert is false disabling certificate validation; must be set to "true" for increased security
07-10-2025 16:39:57.649 +0000 INFO  ServerConfig [0 MainThread] - SSL session cache path  enabled 0 session timeout on SSL server 300.000
07-10-2025 16:39:57.651 +0000 INFO  ServerConfig [0 MainThread] - Setting HTTP server compression state=on
07-10-2025 16:39:57.653 +0000 INFO  ServerConfig [0 MainThread] - Setting HTTP client compression state=1 (true)
07-10-2025 16:39:57.653 +0000 INFO  ServerConfig [0 MainThread] - disableSSLShutdown=0
07-10-2025 16:39:57.653 +0000 INFO  ServerConfig [0 MainThread] - Setting search process to have long life span: enable_search_process_long_lifespan=1
07-10-2025 16:39:57.653 +0000 INFO  ServerConfig [0 MainThread] - enableTeleportSupervisor=1, scsEvironment=production
07-10-2025 16:39:57.653 +0000 INFO  ServerConfig [0 MainThread] - Splunk is starting with EC-SSC disabled
07-10-2025 16:39:57.653 +0000 INFO  ServerConfig [0 MainThread] - Automatic KVStore upgrade at startup: enabled=1 delay=60 retries=2
07-10-2025 16:39:57.653 +0000 INFO  ServerConfig [0 MainThread] - certificateStatusValidationMethod is not set, defaulting to none.
07-10-2025 16:39:57.701 +0000 INFO  loader [0 MainThread] - Regex JIT enabled
07-10-2025 16:39:57.701 +0000 INFO  loader [0 MainThread] - RE2 library enabled
07-10-2025 16:39:57.701 +0000 INFO  loader [0 MainThread] - using CLOCK_MONOTONIC
07-10-2025 16:39:57.790 +0000 INFO  BundlesSetup [1773 MainThread] - Setup stats for /opt/splunk/etc: wallclock_elapsed_msec=12, cpu_time_used=0.0108607, shared_services_generation=1, shared_services_population=1
07-10-2025 16:39:57.806 +0000 INFO  loader [1773 MainThread] - Splunkd starting (build 237ebbd22314).
07-10-2025 16:39:57.806 +0000 INFO  loader [1773 MainThread] - System info: Linux, 9ac300c1c02b, 6.8.0-60-generic, #63~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 22 19:00:15 UTC 2, x86_64.
07-10-2025 16:39:57.814 +0000 ERROR SystemInfo [1773 MainThread] - Failed to read memory limit at location="V2:/sys/fs/cgroup:/:/sys/fs/cgroup:/:"
07-10-2025 16:39:57.814 +0000 INFO  loader [1773 MainThread] - Detected 2 (virtual) CPUs, 2 CPU cores, and 1024MB RAM
07-10-2025 16:39:57.814 +0000 INFO  loader [1773 MainThread] - Maximum number of threads (approximate): 512
07-10-2025 16:39:57.814 +0000 INFO  loader [1773 MainThread] - Getting configuration data from: /opt/splunk/etc/myinstall/splunkd.xml
07-10-2025 16:39:57.814 +0000 INFO  loader [1773 MainThread] - SPLUNK_MODULE_PATH environment variable not found - defaulting to /opt/splunk/etc/modules
07-10-2025 16:39:57.814 +0000 INFO  loader [1773 MainThread] - loading modules from /opt/splunk/etc/modules
07-10-2025 16:39:57.817 +0000 INFO  loader [1773 MainThread] - Writing out composite configuration file: /opt/splunk/var/run/splunk/composite.xml
07-10-2025 16:39:57.889 +0000 INFO  PipelineComponent [1773 MainThread] - Ingestion pipeline sets have been configured to use pipeline set policy=round_robin for multiple pipeline sets.
07-10-2025 16:39:57.948 +0000 INFO  LMStackMgr [1773 MainThread] - Initializing CleMgr...
07-10-2025 16:39:57.948 +0000 INFO  LicenseMgr [1773 MainThread] - Initing LicenseMgr
07-10-2025 16:39:57.948 +0000 INFO  LMConfig [1773 MainThread] - serverName=9ac300c1c02b guid=BB1D645A-3A11-4472-836F-FB1714B51CD3
07-10-2025 16:39:57.949 +0000 INFO  LMConfig [1773 MainThread] - connection_timeout=30
07-10-2025 16:39:57.949 +0000 INFO  LMConfig [1773 MainThread] - send_timeout=30
07-10-2025 16:39:57.949 +0000 INFO  LMConfig [1773 MainThread] - receive_timeout=30
07-10-2025 16:39:57.949 +0000 INFO  LMConfig [1773 MainThread] - key=license_warnings_update_interval not found in licenser stanza of server.conf, defaulting=0
07-10-2025 16:39:57.949 +0000 INFO  LMConfig [1773 MainThread] - squash_threshold=2000
07-10-2025 16:39:57.949 +0000 INFO  LMConfig [1773 MainThread] - strict_pool_quota=1
07-10-2025 16:39:57.949 +0000 INFO  LMConfig [1773 MainThread] - key=pool_suggestion not found in licenser stanza of server.conf, defaulting=''
07-10-2025 16:39:57.949 +0000 INFO  LMConfig [1773 MainThread] - key=test_aws_metering not found in licenser stanza of server.conf, defaulting=0
07-10-2025 16:39:57.949 +0000 INFO  LMConfig [1773 MainThread] - key=test_aws_product_code not found in licenser stanza of server.conf, defaulting=0
07-10-2025 16:39:57.949 +0000 INFO  LMConfig [1773 MainThread] - lm_ping_interval=86400
07-10-2025 16:39:57.949 +0000 INFO  LMConfig [1773 MainThread] - key=lm_uri not found in licenser stanza of server.conf, defaulting to empty array
07-10-2025 16:39:57.949 +0000 INFO  LicenseMgr [1773 MainThread] - Initing LicenseMgr runContext_splunkd=true
07-10-2025 16:39:57.949 +0000 INFO  LMStackMgr [1773 MainThread] - closing stack mgr
07-10-2025 16:39:57.949 +0000 INFO  LMSlaveInfo [1773 MainThread] - all slaves cleared
07-10-2025 16:39:57.949 +0000 INFO  LMStackMgr [1773 MainThread] - Initalized license_warnings_update_interval=auto
07-10-2025 16:39:57.950 +0000 INFO  LMStackMgr [1773 MainThread] - License Manager supports Conditional Licensing Enforcement. For baked in CLE policies, window_period=60 days, max_violations=45, for stack size below 107374182400 bytes
07-10-2025 16:39:57.950 +0000 INFO  LMLicense [1773 MainThread] - Applying default enforcement policy for free
07-10-2025 16:39:57.950 +0000 INFO  LMStackMgr [1773 MainThread] - Added policy WinSz=30 Warnings=3 MaxSize=0 isDefault=1 features= for free
07-10-2025 16:39:57.950 +0000 INFO  LMLicense [1773 MainThread] - Applying default enforcement policy for forwarder
07-10-2025 16:39:57.950 +0000 INFO  LMStackMgr [1773 MainThread] - Added policy WinSz=30 Warnings=5 MaxSize=0 isDefault=1 features= for forwarder
07-10-2025 16:39:57.954 +0000 INFO  LMStack [1773 MainThread] - Added type=download-trial license, from file=enttrial.lic, to stack=download-trial of group=Trial
07-10-2025 16:39:57.954 +0000 INFO  LMLicense [1773 MainThread] - Applying default enforcement policy for download-trial
07-10-2025 16:39:57.954 +0000 INFO  LMStackMgr [1773 MainThread] - created stack='download-trial'
07-10-2025 16:39:57.954 +0000 INFO  LMStackMgr [1773 MainThread] - Added policy WinSz=30 Warnings=5 MaxSize=0 isDefault=1 features= for download-trial
07-10-2025 16:39:57.954 +0000 INFO  LMStackMgr [1773 MainThread] - have to auto-set active stack group='Trial' reason='invalid/missing group id' gidStr='' oldGid=Invalid
07-10-2025 16:39:58.003 +0000 INFO  LMConfig [1773 MainThread] - created default pool=auto_generated_pool_download-trial for stack=download-trial
07-10-2025 16:39:58.003 +0000 INFO  LMStackMgr [1773 MainThread] - added default pool=auto_generated_pool_download-trial for stack=download-trial
07-10-2025 16:39:58.009 +0000 INFO  LMConfig [1773 MainThread] - created default pool=auto_generated_pool_forwarder for stack=forwarder
07-10-2025 16:39:58.009 +0000 INFO  LMStackMgr [1773 MainThread] - added default pool=auto_generated_pool_forwarder for stack=forwarder
07-10-2025 16:39:58.012 +0000 INFO  LMConfig [1773 MainThread] - created default pool=auto_generated_pool_free for stack=free
07-10-2025 16:39:58.012 +0000 INFO  LMStackMgr [1773 MainThread] - added default pool=auto_generated_pool_free for stack=free
07-10-2025 16:39:58.012 +0000 INFO  ServerRoles [1773 MainThread] - Declared role=license_master.
07-10-2025 16:39:58.012 +0000 INFO  ServerRoles [1773 MainThread] - Declared role=license_manager.
07-10-2025 16:39:58.013 +0000 INFO  LMStackMgr [1773 MainThread] - Initialized hideQuotaWarning = "0"
07-10-2025 16:39:58.013 +0000 INFO  LMStackMgr [1773 MainThread] - init completed [BB1D645A-3A11-4472-836F-FB1714B51CD3,Trial,runContext_splunkd=true]
07-10-2025 16:39:58.013 +0000 INFO  LicenseMgr [1773 MainThread] - StackMgr init complete...
07-10-2025 16:39:58.013 +0000 INFO  LMTracker [1773 MainThread] - Setting default product type='enterprise'
07-10-2025 16:39:58.013 +0000 INFO  LMTracker [1773 MainThread] - init'ing slaveId=BB1D645A-3A11-4472-836F-FB1714B51CD3 label=9ac300c1c02b [30,30,self]
