07-10-2025 19:16:50.893 +0000 INFO  loader [0 MainThread] - tcpinputprocessor is alias of tcpinputprocessorwithreplication
07-10-2025 19:16:50.915 +0000 INFO  ServerConfig [0 MainThread] - Will generate GUID, as none found on this server.
07-10-2025 19:16:50.915 +0000 INFO  ServerConfig [0 MainThread] - My newly generated GUID is 8FECB06A-5ACD-4364-A1DB-92F937D3075C
07-10-2025 19:16:50.916 +0000 INFO  ServerConfig [0 MainThread] - My server name is "a18adf8c954c".
07-10-2025 19:16:50.916 +0000 INFO  ServerConfig [0 MainThread] - Found no site defined in server.conf
07-10-2025 19:16:50.916 +0000 INFO  ServerConfig [0 MainThread] - My hostname is "a18adf8c954c".
07-10-2025 19:16:50.929 +0000 WARN  SSLOptions [0 MainThread] - server.conf/[sslConfig]/sslVerifyServerCert is false disabling certificate validation; must be set to "true" for increased security
07-10-2025 19:16:50.935 +0000 INFO  ServerConfig [0 MainThread] - SSL session cache path  enabled 0 session timeout on SSL server 300.000
07-10-2025 19:16:50.935 +0000 INFO  ServerConfig [0 MainThread] - Setting HTTP server compression state=on
07-10-2025 19:16:50.935 +0000 INFO  ServerConfig [0 MainThread] - Setting HTTP client compression state=1 (true)
07-10-2025 19:16:50.935 +0000 INFO  ServerConfig [0 MainThread] - disableSSLShutdown=0
07-10-2025 19:16:50.935 +0000 INFO  ServerConfig [0 MainThread] - Setting search process to have long life span: enable_search_process_long_lifespan=1
07-10-2025 19:16:50.935 +0000 INFO  ServerConfig [0 MainThread] - enableTeleportSupervisor=1, scsEvironment=production
07-10-2025 19:16:50.936 +0000 INFO  ServerConfig [0 MainThread] - Splunk is starting with EC-SSC disabled
07-10-2025 19:16:50.936 +0000 INFO  ServerConfig [0 MainThread] - Automatic KVStore upgrade at startup: enabled=1 delay=60 retries=2
07-10-2025 19:16:50.936 +0000 INFO  ServerConfig [0 MainThread] - certificateStatusValidationMethod is not set, defaulting to none.
07-10-2025 19:16:50.952 +0000 INFO  loader [0 MainThread] - Regex JIT enabled
